number of photons = 10000.000000
bin size = 0.01000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
3.03500 	 4.657e-03 	 1.512e-02 	 1.021e-01 	 7.890e-04 
3.04500 	 4.496e-03 	 1.510e-02 	 1.034e-01 	 7.702e-04 
3.05500 	 4.518e-03 	 1.519e-02 	 1.027e-01 	 7.236e-04 
3.06500 	 4.326e-03 	 1.470e-02 	 9.831e-02 	 7.091e-04 
3.07500 	 4.242e-03 	 1.434e-02 	 9.679e-02 	 6.976e-04 
3.08500 	 4.189e-03 	 1.426e-02 	 9.149e-02 	 6.897e-04 
3.09500 	 4.167e-03 	 1.388e-02 	 9.141e-02 	 6.312e-04 
3.10500 	 4.067e-03 	 1.360e-02 	 9.105e-02 	 6.075e-04 
3.11500 	 4.067e-03 	 1.355e-02 	 9.103e-02 	 5.728e-04 
3.12500 	 3.949e-03 	 1.305e-02 	 9.027e-02 	 5.824e-04 
3.13500 	 3.830e-03 	 1.280e-02 	 8.641e-02 	 5.746e-04 
3.14500 	 3.729e-03 	 1.255e-02 	 8.430e-02 	 5.963e-04 
3.15500 	 3.684e-03 	 1.232e-02 	 8.147e-02 	 5.636e-04 
3.16500 	 3.624e-03 	 1.215e-02 	 8.430e-02 	 5.362e-04 
3.17500 	 3.520e-03 	 1.183e-02 	 7.964e-02 	 5.132e-04 
3.18500 	 3.457e-03 	 1.178e-02 	 8.098e-02 	 5.187e-04 
3.19500 	 3.460e-03 	 1.138e-02 	 7.781e-02 	 4.909e-04 
3.20500 	 3.283e-03 	 1.117e-02 	 7.745e-02 	 4.736e-04 
3.21500 	 3.251e-03 	 1.101e-02 	 7.613e-02 	 4.573e-04 
3.22500 	 3.155e-03 	 1.059e-02 	 7.555e-02 	 4.446e-04 
