number of photons = 10000.000000
bin size = 0.00400 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.76200 	 6.045e-04 	 3.329e-04 	 5.332e-04 	 4.782e-05 
0.76600 	 6.074e-04 	 3.156e-04 	 3.106e-04 	 5.391e-05 
0.77000 	 5.825e-04 	 3.728e-04 	 3.988e-04 	 5.324e-05 
0.77400 	 5.799e-04 	 3.439e-04 	 3.019e-04 	 5.432e-05 
0.77800 	 4.991e-04 	 3.222e-04 	 3.865e-04 	 4.333e-05 
0.78200 	 4.432e-04 	 2.837e-04 	 3.266e-04 	 3.730e-05 
0.78600 	 4.643e-04 	 3.123e-04 	 2.559e-04 	 2.525e-05 
0.79000 	 4.419e-04 	 2.610e-04 	 2.965e-04 	 2.952e-05 
0.79400 	 4.396e-04 	 2.349e-04 	 3.288e-04 	 3.296e-05 
0.79800 	 4.022e-04 	 2.475e-04 	 3.199e-04 	 3.595e-05 
0.80200 	 3.524e-04 	 2.197e-04 	 3.662e-04 	 4.447e-05 
0.80600 	 3.309e-04 	 2.060e-04 	 2.367e-04 	 3.660e-05 
0.81000 	 3.096e-04 	 1.848e-04 	 3.380e-04 	 3.053e-05 
0.81400 	 2.625e-04 	 1.621e-04 	 2.535e-04 	 3.395e-05 
0.81800 	 2.449e-04 	 1.638e-04 	 2.488e-04 	 2.911e-05 
0.82200 	 2.326e-04 	 1.519e-04 	 2.831e-04 	 3.156e-05 
0.82600 	 2.700e-04 	 1.406e-04 	 4.062e-04 	 4.031e-05 
0.83000 	 2.339e-04 	 1.948e-04 	 3.280e-04 	 3.384e-05 
0.83400 	 2.232e-04 	 1.507e-04 	 3.590e-04 	 2.026e-05 
0.83800 	 1.856e-04 	 1.413e-04 	 2.280e-04 	 1.744e-05 
0.84200 	 1.895e-04 	 1.203e-04 	 1.810e-04 	 2.338e-05 
0.84600 	 1.569e-04 	 1.187e-04 	 1.532e-04 	 1.882e-05 
0.85000 	 1.638e-04 	 1.115e-04 	 1.406e-04 	 1.918e-05 
0.85400 	 1.743e-04 	 1.113e-04 	 2.222e-04 	 1.305e-05 
0.85800 	 1.709e-04 	 1.086e-04 	 2.274e-04 	 1.509e-05 
0.86200 	 1.741e-04 	 9.224e-05 	 1.851e-04 	 9.819e-06 
0.86600 	 1.387e-04 	 1.039e-04 	 1.295e-04 	 2.241e-05 
0.87000 	 1.350e-04 	 9.981e-05 	 1.158e-04 	 1.121e-05 
0.87400 	 1.269e-04 	 7.814e-05 	 1.277e-04 	 6.316e-06 
0.87800 	 1.266e-04 	 9.336e-05 	 2.335e-04 	 1.375e-05 
0.88200 	 1.155e-04 	 7.419e-05 	 1.893e-04 	 8.438e-06 
0.88600 	 1.112e-04 	 9.002e-05 	 4.512e-05 	 4.840e-06 
0.89000 	 1.130e-04 	 9.189e-05 	 7.948e-05 	 7.237e-06 
0.89400 	 1.024e-04 	 1.187e-04 	 1.557e-04 	 8.123e-06 
0.89800 	 1.006e-04 	 1.038e-04 	 8.031e-05 	 9.297e-06 
0.90200 	 1.153e-04 	 6.576e-05 	 1.234e-04 	 1.024e-05 
0.90600 	 1.197e-04 	 8.198e-05 	 6.030e-05 	 8.131e-06 
0.91000 	 8.963e-05 	 5.175e-05 	 7.034e-05 	 1.021e-05 
0.91400 	 9.761e-05 	 5.207e-05 	 7.128e-05 	 3.707e-06 
0.91800 	 7.953e-05 	 4.818e-05 	 6.591e-05 	 6.062e-06 
0.92200 	 6.560e-05 	 4.022e-05 	 6.492e-05 	 5.917e-06 
0.92600 	 6.392e-05 	 3.746e-05 	 5.712e-05 	 2.882e-06 
0.93000 	 6.156e-05 	 4.931e-05 	 1.089e-04 	 3.440e-06 
0.93400 	 6.433e-05 	 2.827e-05 	 3.494e-05 	 5.146e-06 
0.93800 	 5.689e-05 	 2.449e-05 	 8.483e-05 	 5.079e-06 
0.94200 	 5.535e-05 	 3.600e-05 	 4.174e-05 	 4.622e-06 
0.94600 	 4.008e-05 	 2.767e-05 	 4.669e-05 	 2.852e-06 
0.95000 	 4.589e-05 	 3.421e-05 	 8.408e-05 	 2.971e-06 
0.95400 	 3.239e-05 	 3.133e-05 	 8.044e-05 	 2.922e-06 
0.95800 	 3.693e-05 	 3.099e-05 	 1.027e-04 	 1.474e-06 
0.96200 	 4.730e-05 	 1.975e-05 	 1.277e-04 	 2.010e-06 
0.96600 	 3.786e-05 	 2.938e-05 	 6.035e-05 	 3.030e-06 
0.97000 	 3.125e-05 	 1.957e-05 	 6.244e-05 	 2.178e-06 
0.97400 	 2.772e-05 	 2.447e-05 	 6.031e-05 	 2.791e-06 
0.97800 	 2.149e-05 	 2.379e-05 	 2.425e-05 	 2.251e-06 
0.98200 	 3.288e-05 	 2.809e-05 	 2.613e-05 	 2.478e-06 
0.98600 	 2.963e-05 	 2.419e-05 	 3.097e-05 	 3.421e-06 
0.99000 	 2.324e-05 	 1.639e-05 	 2.243e-05 	 2.649e-06 
0.99400 	 3.002e-05 	 1.787e-05 	 3.027e-05 	 1.034e-06 
0.99800 	 2.819e-05 	 1.347e-05 	 5.793e-05 	 2.170e-06 
1.00200 	 2.247e-05 	 2.649e-05 	 2.014e-05 	 2.334e-06 
1.00600 	 2.077e-05 	 1.578e-05 	 9.644e-06 	 8.661e-07 
1.01000 	 2.652e-05 	 1.293e-05 	 1.210e-06 	 1.380e-06 
1.01400 	 3.158e-05 	 5.992e-06 	 8.666e-06 	 1.205e-06 
1.01800 	 2.677e-05 	 4.107e-06 	 5.173e-06 	 7.287e-07 
1.02200 	 2.461e-05 	 4.252e-06 	 2.829e-05 	 1.422e-06 
1.02600 	 2.656e-05 	 1.008e-05 	 1.088e-05 	 1.609e-06 
1.03000 	 2.691e-05 	 7.819e-06 	 8.884e-06 	 1.123e-06 
1.03400 	 1.567e-05 	 3.966e-06 	 5.716e-06 	 9.500e-07 
1.03800 	 1.773e-05 	 3.488e-06 	 4.190e-06 	 8.418e-07 
1.04200 	 1.922e-05 	 1.499e-06 	 5.378e-06 	 8.827e-07 
1.04600 	 1.486e-05 	 1.025e-06 	 6.439e-06 	 6.825e-07 
1.05000 	 1.997e-05 	 1.082e-06 	 2.736e-06 	 2.484e-07 
1.05400 	 1.763e-05 	 1.761e-06 	 1.114e-05 	 7.479e-07 
1.05800 	 2.031e-05 	 1.338e-06 	 1.058e-05 	 2.385e-07 
1.06200 	 1.019e-05 	 2.095e-06 	 2.867e-06 	 8.813e-07 
1.06600 	 9.712e-06 	 2.073e-06 	 7.485e-06 	 1.164e-06 
1.07000 	 7.098e-06 	 7.437e-07 	 8.948e-06 	 7.361e-07 
1.07400 	 9.255e-06 	 5.470e-06 	 9.337e-06 	 1.312e-06 
1.07800 	 1.046e-05 	 3.381e-06 	 3.376e-05 	 1.568e-07 
1.08200 	 7.400e-06 	 3.323e-06 	 1.428e-05 	 1.024e-07 
1.08600 	 5.987e-06 	 5.682e-06 	 7.848e-06 	 8.704e-07 
1.09000 	 6.415e-06 	 3.812e-06 	 0.000e+00 	 5.005e-08 
1.09400 	 6.813e-06 	 1.748e-06 	 3.073e-06 	 8.486e-07 
1.09800 	 8.988e-06 	 3.258e-06 	 1.861e-05 	 1.707e-06 
1.10200 	 7.354e-06 	 2.357e-06 	 1.508e-06 	 1.260e-06 
1.10600 	 7.438e-06 	 1.983e-06 	 1.691e-05 	 3.967e-07 
1.11000 	 6.617e-06 	 8.400e-07 	 4.969e-05 	 1.311e-06 
1.11400 	 9.461e-06 	 1.870e-06 	 1.466e-05 	 3.827e-07 
1.11800 	 1.061e-05 	 1.203e-06 	 1.753e-05 	 5.154e-07 
1.12200 	 9.592e-06 	 5.302e-06 	 1.594e-05 	 7.896e-07 
